tract,Name,Incarceration_Rate_rP_gM_pall
11001010900,"Southwest Washington, Washington, DC",0.2203
11001007407,"Barry Farm, Washington, DC",0.2039
11001004801,"Northwest Washington, Washington, DC",0.1997
11001007401,"Barry Farm, Washington, DC",0.178
11001007200,"Capitol Riverfront, Washington, DC",0.1762
11001008803,"Northeast Washington, Washington, DC",0.1736
11001004901,"Northwest Washington, Washington, DC",0.1695
11001009810,"Southeast Washington, Washington, DC",0.1648
11001003302,"Bloomingdale, Washington, DC",0.1628
11001004701,"Northwest Washington, Washington, DC",0.1624
11001008802,"Northeast Washington, Washington, DC",0.162
11001006900,"Southeast Washington, Washington, DC",0.1593
11001007502,"Southeast Washington, Washington, DC",0.1584
11001007601,"Southeast Washington, Washington, DC",0.1569
11001007406,"Southeast Washington, Washington, DC",0.1512
11001006400,"Southwest Washington, Washington, DC",0.1511
11001004702,"Northwest Washington, Washington, DC",0.1477
11001009802,"Southeast Washington, Washington, DC",0.1475
11001003301,"Bloomingdale, Washington, DC",0.1468
11001009801,"Southeast Washington, Washington, DC",0.1466
11001003500,"Northwest Washington, Washington, DC",0.1412
11001009204,"Edgewood, Washington, DC",0.1402
11001008903,"Carver / Langston, Washington, DC",0.1354
11001009700,"Southeast Washington, Washington, DC",0.1336
11001007408,"Southeast Washington, Washington, DC",0.1299
11001007901,"Northeast Washington, Washington, DC",0.1276
11001010400,"Southeast Washington, Washington, DC",0.1274
11001009203,"Northeast Washington, Washington, DC",0.1163
11001009811,"Southeast Washington, Washington, DC",0.1149
11001008402,"Northeast Washington, Washington, DC",0.1125
11001007409,"Southeast Washington, Washington, DC",0.1122
11001009604,"Northeast Washington, Washington, DC",0.1116
24033801600,"Oxon Hill, MD",0.111
24033803401,"Landover, Hyattsville, MD",0.1109
11001008001,"Northeast Washington, Washington, DC",0.1103
11001007708,"Southeast Washington, Washington, DC",0.1097
11001007504,"Historic Anacostia, Washington, DC",0.1085
11001009603,"Northeast Washington, Washington, DC",0.1083
11001007804,"Lincoln Heights, Washington, DC",0.1077
11001004802,"Northwest Washington, Washington, DC",0.1076
11001009907,"Southeast Washington, Washington, DC",0.1061
11001004400,"Northwest Washington, Washington, DC",0.106
24033801707,"Oxon Hill, MD",0.1059
24033803524,"Hyattsville, MD",0.1052
11001003600,"Columbia Heights, Washington, DC",0.1034
24033802501,"Suitland, Suitland-Silver Hill, MD",0.1016
11001009903,"Southeast Washington, Washington, DC",0.1013
24033803300,"Hyattsville, MD",0.1001
24033802700,"Capitol Heights, MD",0.0995
11001009501,"Northeast Washington, Washington, DC",0.0993
11001008702,"Eckington, Washington, DC",0.0992
11001009804,"Southeast Washington, Washington, DC",0.0984
11001008410,"Northeast Washington, Washington, DC",0.0982
11001008701,"Eckington, Washington, DC",0.0981
11001002202,"Northwest Washington, Washington, DC",0.0978
51013103100,"Nauck, Arlington, VA",0.0972
24033801704,"Oxon Hill, MD",0.0963
11001009803,"Congress Heights, Washington, DC",0.0957
24033803612,"Lanham, MD",0.0957
24033802408,"Capitol Heights, MD",0.0956
11001007709,"Fairlawn, Washington, DC",0.0956
11001009602,"Mayfair, Washington, DC",0.0949
11001007100,"Southeast Washington, Washington, DC",0.0947
11001009102,"Brentwood, Washington, DC",0.0939
24033803200,"Hyattsville, MD",0.0933
11001002102,"Northwest Washington, Washington, DC",0.0933
24033802407,"District Heights, MD",0.0924
51510201204,"Del Ray, Alexandria, VA",0.0922
24033803100,"Capitol Heights, MD",0.0921
11001006802,"Barney Circle, Washington, DC",0.0918
11001009906,"Marshall Heights, Washington, DC",0.0917
11001009905,"Marshall Heights, Washington, DC",0.0915
11001007404,"Douglass, Washington, DC",0.0912
11001007903,"Kingman Park, Washington, DC",0.0911
11001005900,"Northwest Washington, Washington, DC",0.0904
24033802405,"Suitland, Suitland-Silver Hill, MD",0.089
24033802301,"District Heights, MD",0.0887
11001007304,"Congress Heights, Washington, DC",0.088
24033802002,"District Heights, MD",0.0876
24033802901,"Capitol Heights, MD",0.0874
11001002501,"16th Street Heights, Washington, DC",0.0871
24033801807,"Hillcrest Heights, MD",0.087
24033804001,"Bladensburg, MD",0.0862
11001008002,"Northeast Washington, Washington, DC",0.086
24033803509,"Dodge Park, Hyattsville, MD",0.0859
24033803402,"Landover, Hyattsville, MD",0.0857
24033803508,"Glenarden, MD",0.0856
11001007703,"Fort Dupont, Washington, DC",0.0853
11001002301,"Northwest Washington, Washington, DC",0.0842
11001007806,"Northeast Washington, Washington, DC",0.0837
11001004201,"Northwest Washington, Washington, DC",0.083
24033803002,"Capitol Heights, MD",0.083
24033801801,"Temple Hills, MD",0.0829
11001007707,"Benning Ridge, Washington, DC",0.0826
24033801802,"Temple Hills, MD",0.0824
51013102500,"Penrose, Arlington, VA",0.0824
11001008804,"Northeast Washington, Washington, DC",0.0822
11001007605,"Fairlawn, Washington, DC",0.082
24033804802,"Mount Rainier, MD",0.0816
11001009904,"Marshall Heights, Washington, DC",0.0814
51510201202,"Potomac West, Alexandria, VA",0.0813
11001007503,"Historic Anacostia, Washington, DC",0.0808
11001006801,"Hill East, Washington, DC",0.0808
11001010600,"Near Northeast, Washington, DC",0.0798
11001008904,"Carver / Langston, Washington, DC",0.0796
11001009400,"Northeast Washington, Washington, DC",0.0791
11001003400,"Howard University, Washington, DC",0.0791
24033801908,"Suitland, Suitland-Silver Hill, MD",0.0789
11001003100,"Northwest Washington, Washington, DC",0.0787
11001007803,"Lower Central NE, Washington, DC",0.0787
11001002502,"Northwest Washington, Washington, DC",0.0787
24033802106,"Suitland-Silver Hill, MD",0.0772
24033801408,"Fort Washington, MD",0.0754
11001009902,"Southeast Washington, Washington, DC",0.0746
11001003000,"Columbia Heights, Washington, DC",0.074
24033804600,"Brentwood, MD",0.0738
24033803525,"Hyattsville, MD",0.0738
51013103800,"Long Branch Creek, Arlington, VA",0.0737
11001011100,"Northeast Washington, Washington, DC",0.0736
11001007403,"Shipley, Washington, DC",0.0724
11001009201,"Edgewood, Washington, DC",0.0722
24033802805,"Pepper Mill Village, Capitol Heights, MD",0.0721
24033804102,"Hyattsville, MD",0.0718
11001002302,"Northwest Washington, Washington, DC",0.0712
51510201600,"Old Town West, Alexandria, VA",0.071
24033802001,"Suitland, Suitland-Silver Hill, MD",0.0702
11001001702,"Northwest Washington, Washington, DC",0.07
24033802803,"Capitol Heights, MD",0.0699
11001010500,"Southwest Washington, Washington, DC",0.0695
24033805201,"Hyattsville, MD",0.0693
11001002101,"Brightwood Park, Washington, DC",0.0688
11001004300,"Northwest Washington, Washington, DC",0.0683
24033801907,"Suitland, Suitland-Silver Hill, MD",0.0679
24031701900,"Takoma Park, MD",0.0679
24033801701,"Temple Hills, MD",0.0675
24033801808,"Hillcrest Heights, MD",0.0667
24033801805,"Temple Hills, MD",0.0667
11001009807,"Bellevue, Washington, DC",0.0658
24033802404,"District Heights, MD",0.0653
11001007603,"Southeast Washington, Washington, DC",0.065
11001001803,"Brightwood, Washington, DC",0.0646
24033802107,"District Heights, MD",0.0645
24033804300,"Hyattsville, MD",0.0642
24033803001,"Capitol Heights, MD",0.0636
11001003800,"Northwest Washington, Washington, DC",0.0625
24033801405,"Oxon Hill, MD",0.0623
11001009505,"Northeast Washington, Washington, DC",0.0615
24033803803,"Riverdale, Woodlawn, MD",0.0606
24033801804,"Temple Hills, MD",0.0603
11001002400,"Northwest Washington, Washington, DC",0.0602
11001009601,"Kenilworth, Washington, DC",0.0597
24033802804,"Capitol Heights, MD",0.0596
11001009508,"Northeast Washington, Washington, DC",0.0591
24033803700,"Hyattsville, MD",0.0591
11001011000,"Southwest Washington, Washington, DC",0.059
24033801702,"Temple Hills, MD",0.0588
11001003700,"Northwest Washington, Washington, DC",0.0588
51013100800,"High View Park, Arlington, VA",0.0583
11001007604,"Southeast Washington, Washington, DC",0.0582
11001009000,"Fort Lincoln, Washington, DC",0.058
11001003200,"Northwest Washington, Washington, DC",0.0569
11001007809,"Northeast Washington, Washington, DC",0.0562
11001007807,"Northeast Washington, Washington, DC",0.0558
11001007808,"Grant Park, Washington, DC",0.0557
24033802600,"Capitol Heights, MD",0.055
24033801409,"Fort Washington, MD",0.0546
11001001902,"Manor Park, Washington, DC",0.0544
51510200303,"Landmark, Alexandria, VA",0.0544
24033805500,"Hyattsville, MD",0.0529
11001002900,"Northwest Washington, Washington, DC",0.0528
24033805909,"Hyattsville, MD",0.0528
11001001804,"Brightwood, Washington, DC",0.0524
11001004600,"Northwest Washington, Washington, DC",0.0523
24033801905,"Suitland, Camp Springs, MD",0.0515
51510201203,"Potomac West, Alexandria, VA",0.051
11001010300,"Northwest Washington, Washington, DC",0.0507
24033801904,"Suitland, Camp Springs, MD",0.0501
24033802502,"Capitol Heights, MD",0.0496
51510200406,"Landmark, Alexandria, VA",0.0494
24033803613,"Lanham, MD",0.0491
11001009509,"Michigan Park, Washington, DC",0.0484
24033802203,"Forestville, MD",0.0479
24033803900,"Hyattsville, MD",0.0478
11001009901,"Penn Branch, Washington, DC",0.0477
24033801708,"Oxon Hill, MD",0.0475
51013103501,"Arlington Ridge, Arlington, VA",0.0474
11001005002,"Downtown, Washington, DC",0.0472
24033803519,"Landover, Hyattsville, MD",0.0471
24033806708,"Greenbelt, MD",0.047
51013103200,"Columbia Heights, Arlington, VA",0.047
24033802406,"Suitland, Suitland-Silver Hill, MD",0.0468
51510200500,"Seminary Hill, Alexandria, VA",0.0466
11001009301,"Northeast Washington, Washington, DC",0.0465
24031701702,"Takoma Park, MD",0.0463
24033804900,"Hyattsville, MD",0.0462
51510200105,"Alexandria West, Alexandria, VA",0.046
11001009503,"Northeast Washington, Washington, DC",0.0459
24033803602,"Glenarden, MD",0.0458
24033801214,"Clinton, MD",0.0454
51510201801,"Northeast Alexandria, Alexandria, VA",0.0451
24033802201,"Upper Marlboro, MD",0.0448
51510200405,"Landmark, Alexandria, VA",0.0443
24033803601,"Springdale, MD",0.0442
24033801404,"National Harbor, Oxon Hill, MD",0.0437
24033801407,"Fort Washington, MD",0.0437
11001005201,"Downtown, Washington, DC",0.0435
51059415200,"Alexandria, VA",0.0427
11001001901,"Brightwood, Washington, DC",0.0426
24033801211,"Clinton, MD",0.0424
24033802204,"District Heights, MD",0.0418
24031704805,"Bethesda, MD",0.0416
11001000802,"Northwest Washington, Washington, DC",0.0416
51013102801,"Columbia Forest, Arlington, VA",0.0415
11001009507,"Northeast Washington, Washington, DC",0.0413
11001006700,"Southeast Washington, Washington, DC",0.0408
24033801906,"Morningside, MD",0.0405
11001008100,"Northeast Washington, Washington, DC",0.04
51510200301,"Seminary Hill, Alexandria, VA",0.0396
24033801500,"Oxon Hill, MD",0.0394
11001009504,"Michigan Park, Washington, DC",0.0392
51013102100,"Glencarlyn, Arlington, VA",0.0391
51059420503,"Alexandria, VA",0.0389
51013101701,"Radnor - Fort Myer Heights, Arlington, VA",0.0385
24033805101,"Chillum, MD",0.0382
24033805602,"Hyattsville, MD",0.0382
51013102200,"Arlington Mill, Arlington, VA",0.0381
24033802103,"District Heights, MD",0.0374
11001008302,"Northeast Washington, Washington, DC",0.0373
11001004902,"Downtown, Washington, DC",0.0371
24033800707,"Greater Upper Marlboro, Upper Marlboro, MD",0.0371
24033806711,"Greenbelt, MD",0.0371
24033800701,"Upper Marlboro, MD",0.0369
11001009302,"Brookland, Washington, DC",0.0363
24033800408,"Glenn Dale, MD",0.0363
24033801901,"Temple Hills, MD",0.0362
24033803607,"Lanham, MD",0.0358
24033804801,"Mount Rainier, MD",0.0357
24033803801,"Hyattsville, MD",0.0353
24033803527,"Upper Marlboro, MD",0.0352
24033802104,"District Heights, MD",0.0352
24031701701,"Takoma Park, MD",0.0352
11001002702,"Mount Pleasant, Washington, DC",0.0346
24033801212,"Camp Springs, MD",0.0345
51013103602,"Aurora Highlands, Arlington, VA",0.0344
51059452801,"Alexandria, VA",0.0342
24033806710,"Greenbelt, MD",0.0338
11001002002,"16th Street Heights, Washington, DC",0.0337
24033803521,"Bowie, MD",0.033
24033803512,"Upper Marlboro, MD",0.0329
51510201802,"Old Town, Alexandria, VA",0.0326
11001000902,"Northwest Washington, Washington, DC",0.0321
24033805202,"Takoma Park, MD",0.0317
11001006600,"Capitol Hill, Washington, DC",0.0316
24033800706,"Upper Marlboro, MD",0.0316
51059420600,"Groveton, Alexandria, VA",0.0309
24033807000,"College Park, MD",0.0308
24033804700,"Mount Rainier, MD",0.0304
24033801706,"Temple Hills, MD",0.0303
51059451400,"Seven Corners, VA",0.0299
11001002201,"Northwest Washington, Washington, DC",0.0299
24033804101,"Cheverly, MD",0.0296
24033803608,"Lanham, MD",0.0291
11001004202,"Northwest Washington, Washington, DC",0.0289
51013101403,"Virginia Square, Arlington, VA",0.0288
24031702301,"Silver Spring, MD",0.0287
24033805000,"Hyattsville, MD",0.0286
24033806602,"Riverdale, East Riverdale, MD",0.0285
24033807200,"College Park, MD",0.0285
24033806200,"Hyattsville, MD",0.0284
24031702402,"Silver Spring, MD",0.0283
51013103503,"Crystal City, Arlington, VA",0.0282
51510200103,"Alexandria West, Alexandria, VA",0.0276
51059420502,"Alexandria, VA",0.0274
24033800411,"Glenn Dale, MD",0.0271
51510201900,"Old Town, Alexandria, VA",0.027
24033804400,"Brentwood, MD",0.027
11001002801,"Columbia Heights, Washington, DC",0.0269
24033803520,"Bowie, MD",0.0268
24031701703,"Takoma Park, MD",0.0267
51013102301,"Alcova Heights, Arlington, VA",0.0266
51013102003,"Buckingham, Arlington, VA",0.0266
24031701704,"Takoma Park, MD",0.0263
51059450100,"Falls Church, VA",0.026
51510200302,"Seminary Hill, Alexandria, VA",0.0258
24033806712,"Greenbelt, MD",0.0257
51013101900,"Ashton Heights, Arlington, VA",0.0257
51059450200,"Falls Church, VA",0.0257
51059420400,"Alexandria, VA",0.0253
51510200600,"Seminary Hill, Alexandria, VA",0.0252
24033803605,"New Carrollton, MD",0.0251
51013101402,"Virginia Square, Arlington, VA",0.0251
24033806501,"Riverdale, Riverdale Park, MD",0.0248
51013102302,"Barcroft, Arlington, VA",0.0246
24031704804,"Bethesda, MD",0.0246
24033804002,"Bladensburg, MD",0.0245
51510200407,"Landmark, Alexandria, VA",0.0242
11001010700,"Downtown, Washington, DC",0.0239
24033806000,"Hyattsville, MD",0.0238
24033803513,"Largo, MD",0.0236
51059450500,"Falls Church, VA",0.0234
11001000501,"Northwest Washington, Washington, DC",0.0233
24033805700,"Hyattsville, MD",0.0232
24033801104,"Joint Base Andrews, MD",0.0228
51059452101,"Annandale, VA",0.0222
51013102701,"Douglas Park, Arlington, VA",0.0222
11001005600,"Northwest Washington, Washington, DC",0.0221
51013101404,"Virginia Square, Arlington, VA",0.0221
51013102600,"Douglas Park, Arlington, VA",0.0219
51510200106,"Alexandria West, Alexandria, VA",0.0215
24031702601,"Downtown Silver Spring, Silver Spring, MD",0.0215
11001010200,"Southwest Washington, Washington, DC",0.0212
24033803516,"Bowie, MD",0.021
24031701800,"Takoma Park, MD",0.021
11001002802,"Columbia Heights, Washington, DC",0.0203
51510200104,"Alexandria West, Alexandria, VA",0.0202
51510200102,"Alexandria West, Alexandria, VA",0.0201
51013102901,"Shirlington, Arlington, VA",0.0197
51059452502,"Lincolnia, VA",0.0196
24031704803,"Bethesda, MD",0.0196
51059450300,"Falls Church, VA",0.0196
51510201300,"Del Ray, Alexandria, VA",0.0195
24033800412,"Lanham, MD",0.0195
24033804200,"Cheverly, MD",0.0192
51059451601,"Bailey's Crossroads, VA",0.0189
24033803514,"Largo, MD",0.0188
51013100700,"Arlington, VA",0.0187
24033806601,"Prince Georges County, MD",0.0187
51013101602,"Colonial Village, Arlington, VA",0.0184
24033803606,"Lanham, MD",0.0183
24033800413,"Lanham, MD",0.0182
24033806100,"Hyattsville, MD",0.0181
51013102902,"Shirlington, Arlington, VA",0.018
51059450602,"Falls Church, VA",0.0179
24031702000,"New Hampshire Estates, Silver Spring, MD",0.0179
11001005001,"Logan Circle, Washington, DC",0.0175
51510200201,"Seminary Hill, Alexandria, VA",0.0174
51510202002,"Old Town, Alexandria, VA",0.0171
51013101803,"Lyon Park, Arlington, VA",0.0171
11001008301,"Northeast Washington, Washington, DC",0.0167
51013103000,"Shirlington, Arlington, VA",0.0167
51059451900,"Alexandria, VA",0.0165
51013102001,"Buckingham, Arlington, VA",0.016
51059452700,"Falls Church, VA",0.0157
24033805802,"Hyattsville, MD",0.0154
11001001600,"Northwest Washington, Washington, DC",0.0152
11001001302,"Forest Hills, Washington, DC",0.015
51059470600,"McLean, VA",0.0145
51013102702,"Douglas Park, Arlington, VA",0.0143
11001001402,"Northwest Washington, Washington, DC",0.0143
51059452102,"Annandale, VA",0.0142
51013101401,"Bluemont, Arlington, VA",0.0141
24033806800,"Berwyn Heights, MD",0.0139
11001007301,"Southwest Washington, Washington, DC",0.0139
24033803610,"New Carrollton, MD",0.0139
51510201400,"Potomac West, Alexandria, VA",0.0137
51013100100,"Arlington, VA",0.0136
51059452200,"Annandale, VA",0.0136
51059420300,"Alexandria, VA",0.0135
51013101200,"Dominion Hills, Arlington, VA",0.0126
51059420700,"Alexandria, VA",0.0126
11001006500,"Southeast Washington, Washington, DC",0.0125
51610500200,"Falls Church, VA",0.0124
24033805601,"Hyattsville, MD",0.0122
11001001401,"Northwest Washington, Washington, DC",0.012
51059430600,"Springfield, VA",0.0119
24031702500,"Downtown Silver Spring, Silver Spring, MD",0.0119
51059451000,"Annandale, VA",0.0116
11001002001,"16th Street Heights, Washington, DC",0.0106
51059450800,"Annandale, VA",0.0104
51510200802,"Taylor Run, Alexandria, VA",0.0104
11001002600,"Northwest Washington, Washington, DC",0.0101
24033805908,"Chillum, MD",0.0097
51013101702,"Radnor - Fort Myer Heights, Arlington, VA",0.0097
24033807102,"Riverdale, Riverdale Park, MD",0.0096
24033803523,"Bowie, MD",0.0096
51059420201,"Alexandria, VA",0.0093
24031702602,"Silver Spring, MD",0.0092
11001000702,"Northwest Washington, Washington, DC",0.0089
24031705702,"Bethesda, MD",0.0088
51013101500,"Lyon Village, Arlington, VA",0.0086
11001000400,"Naval Observatory, Washington, DC",0.0081
51059452600,"Alexandria, VA",0.0081
51013103300,"Arlington Views, Arlington, VA",0.008
24033806300,"Hyattsville, MD",0.0078
51059471100,"Falls Church, VA",0.0077
51510200107,"Alexandria West, Alexandria, VA",0.0077
51013100500,"Donaldson Run, Arlington, VA",0.0076
11001000100,"Georgetown, Washington, DC",0.0076
24031705602,"Chevy Chase, MD",0.0076
51059430500,"Springfield, VA",0.0076
24033805904,"Hyattsville, MD",0.0074
24033806706,"Greenbelt, MD",0.0074
24033805801,"Adelphi, MD",0.007
51013100300,"Old Glebe, Arlington, VA",0.0069
51059452802,"Bailey's Crossroads, VA",0.0068
51059451502,"Bailey's Crossroads, VA",0.0068
51013101603,"North Rosslyn, Arlington, VA",0.0067
51510200703,"Southwest Quadrant, Alexandria, VA",0.0066
11001010100,"Downtown, Washington, DC",0.0066
11001005500,"Northwest Washington, Washington, DC",0.0065
51059450702,"Annandale, VA",0.0064
51059452501,"Alexandria, VA",0.0061
24031705902,"Bannockburn, Bethesda, MD",0.0059
11001005301,"Northwest Washington, Washington, DC",0.0058
11001001002,"Cathedral Heights, Washington, DC",0.0053
51059450601,"Falls Church, VA",0.0053
51013103402,"Crystal City, Arlington, VA",0.0053
51013101300,"Bluemont, Arlington, VA",0.0052
11001008200,"Northeast Washington, Washington, DC",0.0049
11001000502,"Northwest Washington, Washington, DC",0.0048
51013101703,"Radnor - Fort Myer Heights, Arlington, VA",0.0048
11001002701,"Northwest Washington, Washington, DC",0.0048
24031705800,"Glen Echo, MD",0.0047
24031705501,"Chevy Chase, MD",0.0043
51510200801,"Taylor Run, Alexandria, VA",0.0043
24031705000,"Bethesda, MD",0.0043
11001007000,"Southeast Washington, Washington, DC",0.004
51059451100,"Falls Church, VA",0.0039
51510200403,"Landmark, Alexandria, VA",0.0036
51059452400,"Springfield, VA",0.0034
51059471000,"Falls Church, VA",0.0033
24031702700,"Silver Spring, MD",0.0033
51510201100,"North Ridge, Alexandria, VA",0.003
51059470400,"McLean, VA",0.0029
51059470500,"McLean, VA",0.0028
11001001301,"Northwest Washington, Washington, DC",0.0028
24031704806,"Bethesda, MD",0.0028
24031705100,"Chevy Chase, MD",0.0026
51013100600,"Cherrydale, Arlington, VA",0.0024
11001003900,"Lanier Heights, Washington, DC",0.0023
51610500100,"Falls Church, VA",0.0023
51059471401,"Falls Church, VA",0.0022
51013103401,"Fort Myer, Arlington, VA",0.0021
51013102400,"Arlington Heights, Arlington, VA",0.0021
51013101100,"East Falls Church, Arlington, VA",0.002
51059420203,"Alexandria, VA",0.002
51059451300,"Falls Church, VA",0.002
11001000801,"Northwest Washington, Washington, DC",0.0019
51013101000,"Arlington, VA",0.0019
51059451800,"Lincolnia, VA",0.0019
51059452000,"Annandale, VA",0.0017
51013100900,"Tara - Leeway Heights, Arlington, VA",0.0017
51610500300,"Falls Church, VA",0.0016
11001004002,"Adams Morgan, Washington, DC",0.0015
51013103601,"Aurora Highlands, Arlington, VA",0.0014
51059471303,"Falls Church, VA",0.0014
51059430700,"Springfield, VA",0.0013
11001001100,"Northwest Washington, Washington, DC",0.0012
51510202001,"Old Town, Alexandria, VA",0.0012
11001000300,"Northwest Washington, Washington, DC",0.0011
51059451602,"Falls Church, VA",0.001
51510201500,"Potomac West, Alexandria, VA",0.0009
11001001500,"Northwest Washington, Washington, DC",0.0009
11001004001,"Adams Morgan, Washington, DC",0.0009
24031704600,"Bethesda, MD",0.0008
24033806400,"University Park, MD",0.0007
51059470300,"McLean, VA",0.0006
11001000901,"Northwest Washington, Washington, DC",0.0006
51059480201,"McLean, VA",0.0006
24031706009,"Potomac, MD",0.0006
51510200702,"Eisenhower East, Alexandria, VA",0.0006
51059470800,"McLean, VA",0.0005
51059420202,"Alexandria, VA",0.0005
51059470900,"Falls Church, VA",0.0004
24031705601,"Bethesda, MD",0.0003
51510200202,"Seminary Hill, Alexandria, VA",0.0003
51059451501,"Falls Church, VA",0.0003
51013100200,"Yorktown, Arlington, VA",0.0003
51059470700,"McLean, VA",0.0002
51059420100,"Springfield, VA",0.0002
51013103502,"Aurora Highlands, Arlington, VA",0.0002
51510201000,"North Ridge, Alexandria, VA",0.0002
24031705200,"Chevy Chase, MD",0.0001
24031702401,"Silver Spring, MD",0
11001001200,"Northwest Washington, Washington, DC",0
51013102802,"Claremont, Arlington, VA",0
51059450400,"Falls Church, VA",0
51013100400,"Arlington, VA",0
24031705400,"Chevy Chase, MD",0
11001000600,"Northwest Washington, Washington, DC",0
51059450900,"Falls Church, VA",0
11001001001,"American University Park, Washington, DC",0
11001005800,"Northwest Washington, Washington, DC",0
11001000202,"Georgetown, Washington, DC",0
24031706013,"Bethesda, MD",0
51059451200,"Falls Church, VA",0
51059471202,"McLean, VA",0
51510200404,"Landmark, Alexandria, VA",0
24031705300,"Chevy Chase, MD",0
24031705701,"Bethesda, MD",0
11001000701,"Cathedral Heights, Washington, DC",0
51013102002,"Ashton Heights, Arlington, VA",0
51510200900,"North Ridge, Alexandria, VA",0
24031704700,"Bethesda, MD",0
24031705901,"Bethesda, MD",0
51013101802,"Court House, Arlington, VA",0
51059480100,"Great Falls, VA",0
11001004100,"Northwest Washington, Washington, DC",0
51059471304,"Falls Church, VA",0
51013103700,"Arlington Ridge, Arlington, VA",0
51059470100,"McLean, VA",0
24031705903,"Bethesda, MD",0
24031705502,"Chevy Chase, MD",0
24031706008,"Potomac, MD",0
11001010800,"Northwest Washington, Washington, DC",
11001006202,"Northwest Washington, Washington, DC",
51013101601,"North Highland, Arlington, VA",
11001006804,"Southeast Washington, Washington, DC",
51510200701,"Eisenhower West, Alexandria, VA",
51013101801,"Court House, Arlington, VA",
11001000201,"Georgetown, Washington, DC",