tract,Name,City,income
24510120500,Greenmount West, Baltimore,15844
24510080800,Broadway East, Baltimore,14042
24510200400,Shipley Hill, Baltimore,13860
24510170100,Downtown, Baltimore,21013
24510080400,Broadway East, Baltimore,19776
24510180100,Poppleton, Baltimore,12417
24510160200,Sandtown-Winchester, Baltimore,15400
24510190100,Franklin Square, Baltimore,15811
24510250301,Westport, Baltimore,16112
24510090900,Oliver, Baltimore,16672
24510070200,Madison - Eastend, Baltimore,16397
24510130200,Reservoir Hill, Baltimore,15382
24510250204,Cherry Hill, Baltimore,14632
24510080700,Broadway East, Baltimore,16855
24510140300,Druid Heights, Baltimore,14934
24510100100,Johnson Square, Baltimore,16425
24510200100,Lexington, Baltimore,19232
24510170300,Upton, Baltimore,17641
24510180200,Poppleton, Baltimore,18707
24510140200,Upton, Baltimore,15571
24510080301,Berea, Baltimore,17362
24510200200,Lexington, Baltimore,15555
24510070400,Gay Street, Baltimore,16403
24510080200,Broadway East, Baltimore,18229
24510120400,Barclay, Baltimore,19281
24510150100,Sandtown-Winchester, Baltimore,15476
24510120300,Harwood, Baltimore,18274
24510260402,Frankford, Baltimore,20549
24510160700,Rosemont, Baltimore,17781
24510200702,Saint Joseph's, Baltimore,17466
24510120600,Old Goucher, Baltimore,21715
24510130400,Woodbrook, Baltimore,18557
24510160801,Edmondson, Baltimore,18212
24510260604,O'Donnell Heights, Baltimore,17102
24510270701,Harford - Echodale - Perring Parkway, Baltimore,19187
24510210100,Pigtown, Baltimore,19883
24510280302,West Forest Park, Baltimore,21326
24510070300,Milton - Montford, Baltimore,16061
24510190200,Pratt Monroe, Baltimore,22904
24510250207,Cherry Hill, Baltimore,19353
24510090600,Coldstream - Homestead - Montebello, Baltimore,17915
24510271600,Edgecomb, Baltimore,20128
24510080500,Darley Park, Baltimore,18699
24510090800,East Baltimore Midway, Baltimore,17762
24510060300,Butchers Hill, Baltimore,18117
24510190300,Mount Clare, Baltimore,17103
24510150600,NW Community Action, Baltimore,17115
24510080302,Berea, Baltimore,16320
24510150300,Coppin Heights, Baltimore,18230
24510080600,Broadway East, Baltimore,16713
24510250203,Cherry Hill, Baltimore,17418
24510130300,Penn North, Baltimore,18539
24510180300,Hollins Market, Baltimore,21798
24510151200,Park Circle, Baltimore,17501
24510160400,Midtown Edmondson, Baltimore,15550
24510271801,Arlington, Baltimore,20547
24510160100,Harlem Park, Baltimore,17363
24510280102,Gwynn Oak, Baltimore,20521
24510090700,Coldstream - Homestead - Montebello, Baltimore,19242
24510280500,Pleasant View Gardens, Baltimore,15244
24510260403,Cedonia, Baltimore,18166
24510130100,Reservoir Hill, Baltimore,13375
24510150701,Hanlon Longwood, Baltimore,24465
24510280402,Rognel Heights, Baltimore,20709
24510060100,Patterson Park, Baltimore,15862
24510170200,McCulloh Homes, Baltimore,16843
24510090400,Better Waverly, Baltimore,21227
24510260301,Belair - Edison, Baltimore,21849
24510080102,Belair - Edison, Baltimore,17721
24510160802,Edmondson, Baltimore,18813
24510200300,Bentalou-Smallwood, Baltimore,18814
24510271002,Winston - Govans, Baltimore,21603
24510151300,Central Park Heights, Baltimore,18870
24510150200,Sandtown-Winchester, Baltimore,19120
24510260202,Parkside, Baltimore,21811
24510200500,Mill Hill, Baltimore,18848
24510200800,Irvington, Baltimore,23853
24510160500,Bridgeview-Greenlawn, Baltimore,18445
24510271700,Central Park Heights, Baltimore,21045
24510150900,Windsor Hills, Baltimore,22619
24510260203,Frankford, Baltimore,20857
24510150400,Mondawmin, Baltimore,16749
24510140100,Bolton Hill, Baltimore,33362
24510020100,Upper Fells Point, Baltimore,27226
24510160300,Sandtown-Winchester, Baltimore,14633
24510150702,Walbrook, Baltimore,25469
24510270901,New Northwood, Baltimore,25020
24005401302,Gwynn Oak, Baltimore,30383
24510280404,Irvington, Baltimore,23172
24510250402,Brooklyn, Baltimore,25688
24510260302,Belair - Edison, Baltimore,25810
24510250102,Yale Heights, Baltimore,23758
24510090100,Ednor Gardens - Lakeside, Baltimore,20844
24510280301,Gwynn Oak, Baltimore,25007
24510250101,Beechfield, Baltimore,26157
24510151000,Dorchester, Baltimore,20591
24510270902,Perring Loch, Baltimore,27125
24510030100,Perkins Homes, Baltimore,16707
24005402405,Gwynn Oak, Baltimore,25753
24510270802,Ramblewood, Baltimore,27093
24510160600,Mosher, Baltimore,18877
24510110100,Downtown, Baltimore,22499
24510261000,Patterson Park, Baltimore,24304
24510270903,Hillen, Baltimore,28657
24510250500,Curtis Bay, Baltimore,26602
24005402306,Windsor Mill, Baltimore,31549
24510260201,Frankford, Baltimore,27555
24510280101,Reisterstown Station, Baltimore,19832
24510271900,Glen, Baltimore,28383
24510280200,Gwynn Oak, Baltimore,24854
24510271802,Langston Hughes, Baltimore,17788
24510240300,Riverside, Baltimore,30178
24510230300,South Baltimore, Baltimore,27456
24510110200,Downtown, Baltimore,22321
24510090500,Better Waverly, Baltimore,22060
24510270805,Mid-Govans, Baltimore,25045
24510260800,Baltimore Highlands, Baltimore,29147
24510020200,Upper Fells Point, Baltimore,27135
24510080101,Belair - Edison, Baltimore,29086
24005402303,Windsor Mill, Baltimore,26922
24510150800,Garwyn Oaks, Baltimore,23051
24510120700,Remington, Baltimore,23274
24005402304,Gwynn Oak, Baltimore,29163
24510040100,Downtown, Baltimore,30887
24510260102,Frankford, Baltimore,28488
24510250401,Brooklyn, Baltimore,28532
24510010400,Canton, Baltimore,38840
24510090300,Ednor Gardens - Lakeside, Baltimore,25900
24510210200,Pigtown, Baltimore,22824
24510250205,Lakeland, Baltimore,23557
24510240100,Locust Point, Baltimore,38644
24510230200,South Baltimore, Baltimore,33158
24510010300,Canton, Baltimore,30028
24510030200,Little Italy, Baltimore,30095
24510150500,Burleith-Leighton, Baltimore,19179
24510151100,East Arlington, Baltimore,26434
24510270803,Loch Raven, Baltimore,26254
24510260303,Claremont - Freedom, Baltimore,16126
24510260101,Cedmont, Baltimore,30998
24510130600,Hampden, Baltimore,34238
24510260404,Baltimore Highlands, Baltimore,22330
24510260501,Joseph Lee, Baltimore,36568
24510270702,Harford - Echodale - Perring Parkway, Baltimore,31558
24510010500,Upper Fells Point, Baltimore,34123
24510250600,Brooklyn, Baltimore,20534
24510010200,Patterson Park, Baltimore,31503
24510090200,Ednor Gardens - Lakeside, Baltimore,30261
24510250303,Morrell Park, Baltimore,33579
24510260401,Armistead Gardens, Baltimore,32899
24510270804,Lake Walker, Baltimore,34431
24510200701,Allendale, Baltimore,21947
24510270801,Idlewood, Baltimore,26277
24510270301,Lauraville, Baltimore,33859
24510270401,Glenham-Belford, Baltimore,28337
24510270102,Waltherson, Baltimore,30522
24510260700,Fifteenth Street, Baltimore,32829
24510130806,Woodberry, Baltimore,30452
24510260605,Medford - Broening, Baltimore,31881
24005403202,Gwynn Oak, Baltimore,27334